"audience_rating","movie_title","audience_count","genre"
97,"12 Angry Men (Twelve Angry Men)",105000,"Classics, Drama"
97,GoodFellas,428871,Drama
97,"12 Angry Men (Twelve Angry Men)",105000,"Classics, Drama"
97,GoodFellas,428871,Drama
96,Life Is Beautiful (La Vita ? bella),249253,"Art House & International, Comedy, Drama"
96,Life Is Beautiful (La Vita ? bella),249253,"Art House & International, Comedy, Drama"
95,Casablanca,357186,"Classics, Drama, Romance"
95,Rear Window,150539,"Classics, Drama, Mystery & Suspense"
95,Casablanca,357186,"Classics, Drama, Romance"
95,Rear Window,150539,"Classics, Drama, Mystery & Suspense"
94,Aliens,429158,"Action & Adventure, Horror, Science Fiction & Fantasy"
94,Heat,221684,"Action & Adventure, Mystery & Suspense"
94,Aliens,429158,"Action & Adventure, Horror, Science Fiction & Fantasy"
94,Heat,221684,"Action & Adventure, Mystery & Suspense"
93,Unforgiven,122522,"Drama, Western"
93,Casino,284881,Drama
93,Unforgiven,122522,"Drama, Western"
93,Casino,284881,Drama
92,The Thing,131833,"Horror, Science Fiction & Fantasy"
92,Scent of a Woman,119091,Drama
92,The Thing,131833,"Horror, Science Fiction & Fantasy"
92,Scent of a Woman,119091,Drama
90,High Fidelity,211641,"Comedy, Drama, Romance"
90,"12 Years a Slave",139962,Drama
90,High Fidelity,211641,"Comedy, Drama, Romance"
90,"12 Years a Slave",139962,Drama
89,Halloween,302801,"Horror, Mystery & Suspense"
89,The Fugitive,267605,"Action & Adventure, Drama, Mystery & Suspense"
89,Big Fish,498181,"Comedy, Drama"
89,Pride and Prejudice,459237,"Comedy, Drama, Romance"
89,"2001: A Space Odyssey",298619,"Classics, Science Fiction & Fantasy"
89,"300",1434714,"Action & Adventure, Drama"
89,Halloween,302801,"Horror, Mystery & Suspense"
89,The Fugitive,267605,"Action & Adventure, Drama, Mystery & Suspense"
89,Big Fish,498181,"Comedy, Drama"
89,Pride and Prejudice,459237,"Comedy, Drama, Romance"
89,"2001: A Space Odyssey",298619,"Classics, Science Fiction & Fantasy"
89,"300",1434714,"Action & Adventure, Drama"
88,A Christmas Story,285689,"Comedy, Drama, Kids & Family"
88,Night of the Living Dead,130422,"Classics, Cult Movies, Horror"
88,The Last of the Mohicans,207338,"Action & Adventure, Drama, Romance"
88,A Little Princess,240405,"Drama, Kids & Family"
88,The Count of Monte Cristo,209328,"Action & Adventure, Drama"
88,Crash,442173,Drama
88,Twelve Monkeys (12 Monkeys),390812,"Drama, Science Fiction & Fantasy"
88,A Christmas Story,285689,"Comedy, Drama, Kids & Family"
88,Night of the Living Dead,130422,"Classics, Cult Movies, Horror"
88,The Last of the Mohicans,207338,"Action & Adventure, Drama, Romance"
88,A Little Princess,240405,"Drama, Kids & Family"
88,The Count of Monte Cristo,209328,"Action & Adventure, Drama"
88,Crash,442173,Drama
88,Twelve Monkeys (12 Monkeys),390812,"Drama, Science Fiction & Fantasy"
87,Planet of the Apes,118954,"Classics, Science Fiction & Fantasy"
87,Planet of the Apes,118954,"Classics, Science Fiction & Fantasy"
86,"21 Grams",210470,Drama
86,"3:10 to Yuma",394271,"Action & Adventure, Drama, Western"
86,"21 Grams",210470,Drama
86,"3:10 to Yuma",394271,"Action & Adventure, Drama, Western"
85,Braveheart,32708456,"Action & Adventure, Classics, Drama"
85,The Rock,305085,Action & Adventure
85,Traffic,190313,Drama
85,Adaptation,188588,"Comedy, Drama"
85,Fantastic Mr. Fox,152381,"Action & Adventure, Animation, Comedy, Kids & Family"
85,The Blind Side,431681,"Comedy, Drama, Sports & Fitness"
85,"28 Days Later",482136,"Horror, Science Fiction & Fantasy"
85,"42",119509,Drama
85,Braveheart,32708456,"Action & Adventure, Classics, Drama"
85,The Rock,305085,Action & Adventure
85,Traffic,190313,Drama
85,Adaptation,188588,"Comedy, Drama"
85,Fantastic Mr. Fox,152381,"Action & Adventure, Animation, Comedy, Kids & Family"
85,The Blind Side,431681,"Comedy, Drama, Sports & Fitness"
85,"28 Days Later",482136,"Horror, Science Fiction & Fantasy"
85,"42",119509,Drama
84,The Visitor,127066,Drama
84,The Hangover,942870,Comedy
84,RoboCop,226227,"Action & Adventure, Drama, Science Fiction & Fantasy"
84,Rudolph the Red-Nosed Reindeer,114520,"Animation, Classics, Kids & Family, Television"
84,The Game,141686,Mystery & Suspense
84,Lars and the Real Girl,105665,Comedy
84,"500 Days of Summer",396859,"Comedy, Drama, Romance"
84,The Visitor,127066,Drama
84,The Hangover,942870,Comedy
84,RoboCop,226227,"Action & Adventure, Drama, Science Fiction & Fantasy"
84,Rudolph the Red-Nosed Reindeer,114520,"Animation, Classics, Kids & Family, Television"
84,The Game,141686,Mystery & Suspense
84,Lars and the Real Girl,105665,Comedy
84,"500 Days of Summer",396859,"Comedy, Drama, Romance"
83,The Birds,176409,"Classics, Horror, Mystery & Suspense"
83,"Good Night, And Good Luck",142685,Drama
83,Rent,341054,"Comedy, Musical & Performing Arts, Romance"
83,The Birds,176409,"Classics, Horror, Mystery & Suspense"
83,"Good Night, And Good Luck",142685,Drama
83,Rent,341054,"Comedy, Musical & Performing Arts, Romance"
82,The Jungle Book,714943,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance"
82,Changeling,227027,"Drama, Mystery & Suspense"
82,Despicable Me,267208,"Animation, Comedy, Kids & Family"
82,"21 Jump Street",257395,"Action & Adventure, Comedy"
82,The Jungle Book,714943,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance"
82,Changeling,227027,"Drama, Mystery & Suspense"
82,Despicable Me,267208,"Animation, Comedy, Kids & Family"
82,"21 Jump Street",257395,"Action & Adventure, Comedy"
81,Robin Hood,271595,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance"
81,Cool Runnings,532908,Comedy
81,The Patriot,423024,"Action & Adventure, Drama"
81,Capote,115881,Drama
81,Glory Road,338641,"Drama, Sports & Fitness"
81,Kick-Ass,285351,"Action & Adventure, Comedy, Drama"
81,Robin Hood,271595,"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance"
81,Cool Runnings,532908,Comedy
81,The Patriot,423024,"Action & Adventure, Drama"
81,Capote,115881,Drama
81,Glory Road,338641,"Drama, Sports & Fitness"
81,Kick-Ass,285351,"Action & Adventure, Comedy, Drama"
80,The Omen,125877,"Classics, Horror, Mystery & Suspense"
80,Peter Pan,277881,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
80,Sleeping Beauty,427893,"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
80,Ghost,469446,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy, Romance"
80,The Secret Garden,195080,"Drama, Kids & Family"
80,The Thin Red Line,148609,"Action & Adventure, Drama"
80,The Omen,125877,"Classics, Horror, Mystery & Suspense"
80,Peter Pan,277881,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy"
80,Sleeping Beauty,427893,"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
80,Ghost,469446,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy, Romance"
80,The Secret Garden,195080,"Drama, Kids & Family"
80,The Thin Red Line,148609,"Action & Adventure, Drama"
79,Running Scared,135373,"Action & Adventure, Drama, Mystery & Suspense"
79,Little Shop of Horrors,181532,"Comedy, Horror, Musical & Performing Arts, Science Fiction & Fantasy"
79,Scream,478172,"Horror, Mystery & Suspense"
79,The Negotiator,130367,"Action & Adventure, Mystery & Suspense"
79,Running Scared,135373,"Action & Adventure, Drama, Mystery & Suspense"
79,Little Shop of Horrors,181532,"Comedy, Horror, Musical & Performing Arts, Science Fiction & Fantasy"
79,Scream,478172,"Horror, Mystery & Suspense"
79,The Negotiator,130367,"Action & Adventure, Mystery & Suspense"
78,Poltergeist,182197,Horror
78,Alice in Wonderland,574219,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy"
78,Snow White and the Seven Dwarfs,470162,"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
78,Bad Boys,660442,Action & Adventure
78,Contact,203673,"Mystery & Suspense, Science Fiction & Fantasy"
78,Blade,499581,"Action & Adventure, Horror, Science Fiction & Fantasy"
78,Poltergeist,182197,Horror
78,Alice in Wonderland,574219,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy"
78,Snow White and the Seven Dwarfs,470162,"Animation, Classics, Kids & Family, Science Fiction & Fantasy"
78,Bad Boys,660442,Action & Adventure
78,Contact,203673,"Mystery & Suspense, Science Fiction & Fantasy"
78,Blade,499581,"Action & Adventure, Horror, Science Fiction & Fantasy"
77,Carrie,352882,Horror
77,My Girl,394622,"Comedy, Drama, Kids & Family"
77,Selena,166815,Drama
77,Anastasia,432556,"Action & Adventure, Animation, Drama, Kids & Family"
77,Gone in 60 Seconds (Gone in Sixty Seconds),955161,Action & Adventure
77,The Others,344256,"Horror, Mystery & Suspense"
77,Insomnia,105176,"Drama, Mystery & Suspense"
77,"22 Jump Street",170296,"Action & Adventure, Comedy"
77,Carrie,352882,Horror
77,My Girl,394622,"Comedy, Drama, Kids & Family"
77,Selena,166815,Drama
77,Anastasia,432556,"Action & Adventure, Animation, Drama, Kids & Family"
77,Gone in 60 Seconds (Gone in Sixty Seconds),955161,Action & Adventure
77,The Others,344256,"Horror, Mystery & Suspense"
77,Insomnia,105176,"Drama, Mystery & Suspense"
77,"22 Jump Street",170296,"Action & Adventure, Comedy"
76,"101 Dalmatians",709186,"Animation, Classics, Comedy, Kids & Family, Mystery & Suspense"
76,Shutter Island,2373625,"Action & Adventure, Drama, Mystery & Suspense"
76,"101 Dalmatians",709186,"Animation, Classics, Comedy, Kids & Family, Mystery & Suspense"
76,Shutter Island,2373625,"Action & Adventure, Drama, Mystery & Suspense"
75,The Parent Trap,174597,"Classics, Comedy, Kids & Family, Romance"
75,Independence Day,977377,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
75,The Mummy,946613,"Action & Adventure, Horror, Mystery & Suspense"
75,The Express,820195,Drama
75,The Parent Trap,174597,"Classics, Comedy, Kids & Family, Romance"
75,Independence Day,977377,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
75,The Mummy,946613,"Action & Adventure, Horror, Mystery & Suspense"
75,The Express,820195,Drama
74,The Fast and the Furious,1043882,"Action & Adventure, Drama"
74,Peter Pan,427000,"Kids & Family, Science Fiction & Fantasy"
74,The Terminal,407867,"Comedy, Drama"
74,The Bank Job,253887,"Drama, Mystery & Suspense"
74,The Princess and the Frog,261055,"Animation, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
74,The Fast and the Furious,1043882,"Action & Adventure, Drama"
74,Peter Pan,427000,"Kids & Family, Science Fiction & Fantasy"
74,The Terminal,407867,"Comedy, Drama"
74,The Bank Job,253887,"Drama, Mystery & Suspense"
74,The Princess and the Frog,261055,"Animation, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
73,Legend,101519,"Drama, Science Fiction & Fantasy"
73,Matilda,384209,"Comedy, Kids & Family, Special Interest"
73,State of Play,124258,"Drama, Mystery & Suspense"
73,A Guide to Recognizing Your Saints,101420,Drama
73,Legend,101519,"Drama, Science Fiction & Fantasy"
73,Matilda,384209,"Comedy, Kids & Family, Special Interest"
73,State of Play,124258,"Drama, Mystery & Suspense"
73,A Guide to Recognizing Your Saints,101420,Drama
72,My Sister's Keeper,365325,Drama
72,"Definitely, Maybe",140213,"Comedy, Romance"
72,High School Musical 3: Senior Year,354020,Musical & Performing Arts
72,Cloudy With a Chance of Meatballs,488003,"Animation, Comedy, Kids & Family"
72,My Sister's Keeper,365325,Drama
72,"Definitely, Maybe",140213,"Comedy, Romance"
72,High School Musical 3: Senior Year,354020,Musical & Performing Arts
72,Cloudy With a Chance of Meatballs,488003,"Animation, Comedy, Kids & Family"
71,Tristan & Isolde,220945,"Drama, Science Fiction & Fantasy, Romance"
71,Footloose,270239,"Drama, Musical & Performing Arts, Romance"
71,Driving Lessons,194281,"Comedy, Drama"
71,Tristan & Isolde,220945,"Drama, Science Fiction & Fantasy, Romance"
71,Footloose,270239,"Drama, Musical & Performing Arts, Romance"
71,Driving Lessons,194281,"Comedy, Drama"
70,Father of the Bride,375119,Comedy
70,Black Sheep,125609,Comedy
70,The Hunchback of Notre Dame,125722,"Animation, Drama, Kids & Family"
70,The Parent Trap,530635,"Comedy, Kids & Family"
70,"13 Going on 30",653610,"Comedy, Romance"
70,Father of the Bride,375119,Comedy
70,Black Sheep,125609,Comedy
70,The Hunchback of Notre Dame,125722,"Animation, Drama, Kids & Family"
70,The Parent Trap,530635,"Comedy, Kids & Family"
70,"13 Going on 30",653610,"Comedy, Romance"
69,Rocky,33403994,"Drama, Sports & Fitness"
69,Weird Science,124475,"Comedy, Science Fiction & Fantasy"
69,"10 Things I Hate About You",32104911,Comedy
69,The Girl Next Door,398071,"Comedy, Drama"
69,Curious George,257347,"Animation, Comedy, Kids & Family"
69,Wanted,1546021,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
69,Step Brothers,365512,Comedy
69,Remember Me,411586,"Drama, Romance"
69,Rocky,33403994,"Drama, Sports & Fitness"
69,Weird Science,124475,"Comedy, Science Fiction & Fantasy"
69,"10 Things I Hate About You",32104911,Comedy
69,The Girl Next Door,398071,"Comedy, Drama"
69,Curious George,257347,"Animation, Comedy, Kids & Family"
69,Wanted,1546021,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
69,Step Brothers,365512,Comedy
69,Remember Me,411586,"Drama, Romance"
68,The Road,248392,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
68,Jarhead,392719,Drama
68,The Ringer,398136,Comedy
68,A Nightmare on Elm Street 3: Dream Warriors,304039,Horror
68,The Road,248392,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
68,Jarhead,392719,Drama
68,The Ringer,398136,Comedy
68,A Nightmare on Elm Street 3: Dream Warriors,304039,Horror
67,The Proposal,860222,"Comedy, Romance"
67,Charlotte's Web,227161,"Animation, Kids & Family"
67,Commando,138087,Action & Adventure
67,Short Circuit,168948,"Comedy, Kids & Family, Science Fiction & Fantasy"
67,Three Amigos!,181113,"Comedy, Western"
67,The Mask,994480,"Action & Adventure, Comedy, Science Fiction & Fantasy"
67,Babe,508714,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy"
67,Enough,123407,"Drama, Mystery & Suspense"
67,"17 Again",465945,"Comedy, Drama, Science Fiction & Fantasy"
67,"28 Weeks Later...",638442,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
67,The Proposal,860222,"Comedy, Romance"
67,Charlotte's Web,227161,"Animation, Kids & Family"
67,Commando,138087,Action & Adventure
67,Short Circuit,168948,"Comedy, Kids & Family, Science Fiction & Fantasy"
67,Three Amigos!,181113,"Comedy, Western"
67,The Mask,994480,"Action & Adventure, Comedy, Science Fiction & Fantasy"
67,Babe,508714,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy"
67,Enough,123407,"Drama, Mystery & Suspense"
67,"17 Again",465945,"Comedy, Drama, Science Fiction & Fantasy"
67,"28 Weeks Later...",638442,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
66,"21",367740,"Drama, Mystery & Suspense"
66,The Last Song,160777,"Drama, Kids & Family, Romance"
66,Gone in 60 Seconds,196397,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense"
66,Pearl Harbor,905352,"Action & Adventure, Drama, Romance"
66,Zack and Miri Make a Porno,237035,"Comedy, Drama, Romance"
66,"2 Guns",109397,"Action & Adventure, Drama, Mystery & Suspense"
66,The A-Team,199293,"Action & Adventure, Comedy"
66,"21",367740,"Drama, Mystery & Suspense"
66,The Last Song,160777,"Drama, Kids & Family, Romance"
66,Gone in 60 Seconds,196397,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense"
66,Pearl Harbor,905352,"Action & Adventure, Drama, Romance"
66,Zack and Miri Make a Porno,237035,"Comedy, Drama, Romance"
66,"2 Guns",109397,"Action & Adventure, Drama, Mystery & Suspense"
66,The A-Team,199293,"Action & Adventure, Comedy"
65,What Happens in Vegas,501679,"Comedy, Romance"
65,Hot Shots!,157608,Comedy
65,Road Trip,465469,Comedy
65,The 13th Warrior,117919,"Action & Adventure, Cult Movies, Science Fiction & Fantasy"
65,"50 First Dates",32700188,Comedy
65,What Happens in Vegas,501679,"Comedy, Romance"
65,Hot Shots!,157608,Comedy
65,Road Trip,465469,Comedy
65,The 13th Warrior,117919,"Action & Adventure, Cult Movies, Science Fiction & Fantasy"
65,"50 First Dates",32700188,Comedy
64,Run Fatboy Run,102871,Comedy
64,Pocahontas,560829,"Action & Adventure, Animation, Drama"
64,Red Eye,436157,"Action & Adventure, Mystery & Suspense"
64,Alvin and the Chipmunks,310645,"Animation, Comedy, Kids & Family"
64,Run Fatboy Run,102871,Comedy
64,Pocahontas,560829,"Action & Adventure, Animation, Drama"
64,Red Eye,436157,"Action & Adventure, Mystery & Suspense"
64,Alvin and the Chipmunks,310645,"Animation, Comedy, Kids & Family"
63,Orphan,872754,"Drama, Horror, Mystery & Suspense"
63,Tron Legacy,171385,"Action & Adventure, Science Fiction & Fantasy"
